1, 4, 16, 29,
20, 4, 16, 29,
39, 3, 14, 30,
56, 4, 16, 29,
75, 3, 16, 30,
94, 6, 14, 27,
111, 3, 14, 30,
128, 2, 16, 31,
147, 1, 16, 32,
166, 1, 16, 32,
184, 2, 14, 31,
201, 3, 16, 30,
220, 11, 16, 32,
239, 1, 16, 32,
258, 1, 16, 32,
277, 11, 16, 22,
296, 3, 16, 30,
315, 2, 14, 31,
331, 1, 16, 31,
350, 1, 16, 32,
369, 2, 16, 31,
389, 3, 13, 30,
405, 6, 14, 27,
422, 3, 16, 30,
441, 4, 16, 29,
460, 3, 14, 30,
477, 4, 16, 29,
496, 4, 16, 29,
13, 46, 14, 14,
30, 45, 13, 15,
46, 45, 13, 15,
62, 45, 13, 15,
78, 45, 13, 15,
94, 45, 14, 15,
111, 44, 13, 16,
127, 45, 12, 15,
142, 44, 16, 16,
161, 44, 13, 16,
177, 44, 15, 16,
195, 44, 11, 16,
209, 45, 12, 15,
224, 44, 12, 16,
239, 36, 16, 24,
258, 36, 16, 24,
277, 44, 12, 16,
292, 45, 12, 15,
307, 44, 11, 16,
321, 44, 15, 16,
339, 44, 13, 16,
355, 44, 16, 16,
374, 45, 12, 15,
389, 44, 13, 16,
405, 45, 14, 15,
422, 45, 13, 15,
438, 45, 13, 15,
454, 45, 13, 15,
470, 45, 13, 15,
486, 46, 14, 14,
1, 128, 16, 29,
20, 128, 16, 29,
39, 127, 14, 30,
56, 128, 16, 29,
75, 127, 16, 30,
94, 130, 14, 27,
111, 127, 14, 30,
128, 126, 16, 31,
147, 125, 16, 32,
166, 125, 16, 32,
184, 126, 14, 31,
201, 127, 16, 30,
220, 135, 16, 22,
239, 125, 16, 32,
258, 125, 16, 32,
277, 135, 16, 22,
296, 127, 16, 30,
315, 126, 14, 31,
331, 125, 16, 32,
350, 125, 16, 32,
369, 126, 16, 31,
388, 127, 14, 30,
405, 130, 14, 27,
422, 127, 16, 30,
441, 128, 16, 29,
460, 127, 14, 30,
477, 128, 16, 29,
496, 128, 16, 29,
222, 160, 16, 24,
241, 161, 14, 23,
258, 161, 14, 23,
275, 160, 16, 24,
125, 180, 16, 23,
144, 181, 16, 22,
163, 195, 16, 8,
182, 187, 16, 16,
201, 187, 16, 16,
220, 195, 16, 8,
239, 187, 16, 16,
258, 187, 16, 16,
277, 195, 16, 8,
296, 187, 16, 16,
315, 187, 16, 16,
334, 181, 16, 22,
353, 180, 16, 23,
30, 216, 16, 14,
49, 215, 16, 15,
68, 206, 16, 24,
87, 207, 16, 23,
106, 206, 16, 24,
125, 207, 16, 23,
144, 216, 16, 14,
163, 215, 16, 15,
182, 206, 16, 24,
201, 207, 16, 23,
220, 206, 16, 24,
239, 207, 16, 23,
258, 207, 16, 23,
277, 206, 16, 24,
296, 207, 16, 23,
315, 206, 16, 24,
334, 215, 16, 15,
353, 216, 16, 14,
372, 207, 16, 23,
391, 206, 16, 24,
410, 207, 16, 23,
429, 206, 16, 24,
448, 215, 16, 15,
467, 215, 16, 14,
89, 241, 16, 16,
108, 242, 16, 15,
127, 241, 14, 16,
144, 243, 16, 14,
163, 242, 16, 15,
182, 233, 16, 24,
201, 234, 16, 23,
220, 233, 16, 24,
239, 234, 16, 23,
258, 234, 16, 23,
277, 233, 16, 24,
296, 234, 16, 23,
315, 233, 16, 24,
334, 242, 16, 15,
353, 243, 16, 14,
372, 241, 14, 16,
389, 242, 16, 15,
408, 241, 16, 16,
53, 268, 15, 16,
71, 268, 16, 16,
90, 268, 15, 16,
108, 268, 16, 16,
127, 260, 16, 24,
146, 260, 15, 24,
164, 260, 16, 24,
183, 260, 16, 24,
202, 260, 15, 24,
220, 260, 16, 24,
239, 260, 16, 24,
258, 260, 16, 16,
277, 260, 16, 24,
296, 260, 15, 24,
314, 260, 16, 24,
333, 260, 16, 24,
352, 260, 15, 24,
370, 260, 16, 24,
389, 268, 16, 16,
408, 268, 15, 16,
426, 268, 16, 16,
445, 268, 15, 16,
219, 295, 16, 16,
238, 287, 16, 24,
257, 287, 16, 24,
276, 295, 16, 16,
29, 314, 16, 16,
48, 315, 16, 15,
67, 315, 16, 15,
86, 315, 16, 15,
105, 314, 16, 16,
124, 315, 16, 15,
143, 315, 16, 15,
162, 315, 16, 15,
181, 314, 16, 16,
200, 315, 16, 15,
219, 315, 16, 15,
238, 315, 16, 15,
257, 315, 16, 15,
276, 315, 16, 15,
295, 315, 16, 15,
314, 314, 16, 16,
333, 315, 16, 15,
352, 315, 16, 15,
371, 315, 16, 15,
390, 314, 16, 16,
409, 315, 16, 15,
428, 315, 16, 15,
447, 315, 16, 15,
466, 314, 16, 16,
229, 334, 16, 14,
248, 333, 16, 32,
267, 334, 16, 14,
117, 368, 32, 32,
152, 368, 32, 32,
187, 368, 32, 32,
222, 368, 32, 32,
257, 368, 32, 32,
292, 368, 32, 32,
327, 368, 32, 32,
362, 368, 32, 32,
